StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Demographics_Age,Party_ID1,Party_ID1_4_TEXT,Party_IDR,Party_IDD,Party_IDI,RenewableEnergy_supp,EnvPolicy_Priority,Treatment_positive
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please select your age range,"Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Selected Choice","Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Other - Text",Would you call yourself a strong Republican or a not very strong Republican?,Would you call yourself a strong Democrat or a not very strong Democrat?,Do you think of yourself as closer to the Republican or Democratic party?,To what extent do you support renewable energy initiatives?,To what extent is environmental policy a priority for you?,Treatment_positive
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID1318950701""}","{""ImportId"":""QID1318950701_4_TEXT""}","{""ImportId"":""QID1318950702""}","{""ImportId"":""QID1318950703""}","{""ImportId"":""QID1318950704""}","{""ImportId"":""QID11""}","{""ImportId"":""QID14""}","{""ImportId"":""Treatment_positive""}"
2024-03-27 15:03:35,2024-03-27 15:03:36,Survey Test,,100,1,True,2024-03-27 15:03:36,R_0NjJ4fCVqGTGgKy,,,,,,,test,,65+,Republican,,Not very strong,,,2,4,1
2024-03-27 15:03:36,2024-03-27 15:03:36,Survey Test,,100,0,True,2024-03-27 15:03:36,R_0x3Y9EQlJ5nXYrQ,,,,,,,test,,25 - 34,Independent,,,,Democratic,,5,1
2024-03-27 15:03:36,2024-03-27 15:03:36,Survey Test,,100,0,True,2024-03-27 15:03:36,R_ebWC25Q66hQ00Iu,,,,,,,test,,18 - 24,Other,Etiam dolor malesuada mauris molestie odio id egestas ullamcorper neque nonummy aliquet sed.,,,Neither,,2,1
2024-03-27 15:03:36,2024-03-27 15:03:37,Survey Test,,100,1,True,2024-03-27 15:03:37,R_2lQde4Rm2Gj3Myi,,,,,,,test,,U18,No preference,,,,Democratic,,3,0
2024-03-27 15:03:37,2024-03-27 15:03:37,Survey Test,,100,0,True,2024-03-27 15:03:37,R_1HrySUSfWLry7TU,,,,,,,test,,25 - 34,No preference,,,,Neither,,3,1
2024-03-27 15:03:37,2024-03-27 15:03:37,Survey Test,,100,0,True,2024-03-27 15:03:37,R_8bPuO2uILKhQOhg,,,,,,,test,,35 - 44,Other,Metus sodales. Tellus! Scelerisque nonummy. Velit aliquam placerat lorem sem.,,,Democratic,,1,1
2024-03-27 15:03:37,2024-03-27 15:03:37,Survey Test,,100,0,True,2024-03-27 15:03:38,R_0APVcUkGLZm6A6i,,,,,,,test,,35 - 44,Other,"Ante fermentum potenti suspendisse volutpat vestibulum, enim non? Aenean dolorem.",,,Neither,,1,1
2024-03-27 15:03:38,2024-03-27 15:03:38,Survey Test,,100,0,True,2024-03-27 15:03:38,R_cHecOYn1Z0HjnWC,,,,,,,test,,35 - 44,Independent,,,,Neither,,3,0
